QID,Domain,Bloom_Level,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer
342,Big Data,Application,Medium,"A team needs to provide fast, interactive SQL queries on their petabyte-scale data lake for a large number of concurrent users. Which tool is well-suited for this?","A distributed query engine like Presto or Trino","Hadoop MapReduce","A single-node PostgreSQL database","Exporting the data to a spreadsheet","A"
343,DevOps,Knowledge,Medium,"What is a 'postmortem'?","A meeting held after an incident to analyze what happened, what was the impact, and what can be done to prevent it from happening again, typically in a 'blameless' fashion","A medical examination of a deceased person","A final review of a project after it has been cancelled","An analysis of a security breach to identify the attacker","A"
344,IoT,Knowledge,Medium,"What is 'Bluetooth Mesh'?","A network topology that allows for many-to-many device communication over Bluetooth, extending the range and reliability of the network","A type of protective mesh cover for Bluetooth devices","A security vulnerability in the Bluetooth protocol","A software library for developing Bluetooth applications","A"
345,Cybersecurity,Knowledge,Medium,"What is 'spyware'?","Malware that secretly observes the user's activities on their computer without their permission and reports it to the software's author","A type of security camera","Software used by spies for communication","A tool for analyzing website traffic","A"
346,Machine Learning,Comprehension,Hard,"What does it mean for an algorithm to be 'non-parametric'?","It means the model does not make strong assumptions about the form of the data's underlying distribution; the model structure is determined from the data","An algorithm that has no parameters to tune","An algorithm that cannot be used for statistical analysis","An algorithm that is not based on mathematical principles","A"
347,Cloud Computing,Analysis,Medium,"What is a major benefit of using 'managed services' (e.g., managed databases, message queues) in the cloud?","It offloads the operational burden of managing, scaling, and maintaining the underlying infrastructure to the cloud provider","They are always more customizable than self-hosted solutions","They give you root access to the underlying servers","They are always the cheapest option","A"
348,Artificial Intelligence,Analysis,Hard,"What is the key difference between an 'object detection' model and an 'image classification' model?","Image classification assigns a single label to an entire image, while object detection identifies the location and class of multiple objects within an image","Object detection is an older and less accurate technique","Image classification can only be used for black and white images","Object detection models are a type of unsupervised learning","A"
349,Data Science,Knowledge,Easy,"What is a 'variable'?","Any characteristic, number, or quantity that can be measured or counted, which is the main unit of analysis in a study","A type of programming error","A constant value in an equation","A section in a data report","A"
350,Big Data,Comprehension,Hard,"What is a 'data mesh' architecture?","A decentralized approach to data architecture where data is treated as a product, and domain-specific teams are responsible for their own data pipelines and services","A physical mesh network for transferring big data","A single, centralized data platform","A security model for protecting a data warehouse","A"
351,DevOps,Application,Hard,"A company wants to manage its cloud infrastructure using version-controlled, human-readable configuration files. Which tool would they use?","An Infrastructure as Code (IaC) tool like Terraform or Pulumi","A word processor like Microsoft Word","A spreadsheet program like Microsoft Excel","A project management tool like Jira","A"
352,IoT,Evaluation,Medium,"What is a significant challenge in securing IoT devices?","Many devices are built with minimal security features, use default passwords, and are difficult to patch once deployed in the field","IoT devices are not powerful enough to run encryption algorithms","IoT devices are not connected to the internet","It is impossible to monitor traffic from IoT devices","A"
353,Cybersecurity,Knowledge,Medium,"What is a 'trojan horse' in the context of malware?","A type of malware that disguises itself as a legitimate program but carries a malicious payload","A physical device used to breach a network","A security vulnerability in an operating system","A type of network worm","A"
354,Machine Learning,Comprehension,Medium,"What is 'recall' (or sensitivity) in a classification model?","The fraction of actual positive instances that were correctly identified by the model (True Positives / (True Positives + False Negatives))","The fraction of positive predictions that were actually correct","The overall accuracy of the model","The speed at which the model makes predictions","A"
355,Cloud Computing,Knowledge,Medium,"What is a 'virtual private network' (VPN) in the cloud?","A secure, isolated network within a public cloud that allows you to provision resources","A private, high-speed connection from an on-premises data center to the cloud","A network of virtual reality devices","A service for managing personal privacy settings","A"
356,Artificial Intelligence,Application,Medium,"A logistics company wants to find the most efficient route for its delivery trucks to visit a set of destinations. What kind of problem is this?","An optimization problem (specifically, a variation of the Traveling Salesperson Problem)","A classification problem","A clustering problem","A sentiment analysis problem","A"
357,Data Science,Comprehension,Medium,"What is 'data governance'?","The process and policies for managing the availability, usability, integrity, and security of data in an enterprise","A type of government that uses data to make decisions","A software tool for cleaning data","The act of governing a dataset's access rights","A"
358,Big Data,Analysis,Hard,"What is a key benefit of using a 'data lakehouse' over separate data lake and data warehouse systems?","It provides a single, unified platform for both data warehousing (BI) and data science/ML workloads on the same data, reducing complexity and data duplication","It is a fully on-premises solution, avoiding cloud costs","It does not require any data engineering to maintain","It is an older, more established architecture","A"
359,DevOps,Knowledge,Medium,"What is 'continuous monitoring'?","The process of constantly monitoring a production environment for performance issues, security threats, and application health","Monitoring an application only during business hours","A type of software test","Monitoring the continuous integration pipeline","A"
360,IoT,Analysis,Medium,"What is a key difference between Wi-Fi and Cellular (e.g., 4G/5G) for IoT connectivity?","Wi-Fi provides high-bandwidth, short-range connectivity dependent on a local access point, while cellular provides wide-area, licensed-spectrum connectivity directly to a carrier network","Wi-Fi is more secure than cellular","Cellular is always cheaper than Wi-Fi","Wi-Fi has a longer range than cellular","A"
361,Cybersecurity,Comprehension,Medium,"What is a 'security token'?","A physical or digital object that is used to authenticate a user's identity, often as part of two-factor authentication","A type of cryptocurrency used by security professionals","A reward given for finding a security vulnerability","A special permission granted to a security administrator","A"
362,Machine Learning,Knowledge,Hard,"What is a 'gradient' in the context of training a machine learning model?","A vector that points in the direction of the steepest ascent of a function; in machine learning, the negative gradient is used to update weights to minimize the loss function","A measure of the model's accuracy","A type of data preprocessing technique","A hyperparameter of the model","A"
363,Cloud Computing,Knowledge,Easy,"What is 'scalability'?","The ability of a system to handle a growing amount of work by adding resources","The ability of a system to withstand failures","The security of a system","The cost of a system","A"
364,Artificial Intelligence,Comprehension,Medium,"What is a 'neural network layer'?","A group of neurons that perform a specific transformation on their input; a neural network is composed of multiple layers","A physical layer of a computer chip for AI","A security layer in an AI model","A level of abstraction in AI programming","A"
365,Data Science,Comprehension,Hard,"What is 'survivorship bias'?","A cognitive bias of focusing on the 'survivors' of a process and ignoring the 'failures', which can lead to incorrect conclusions","A bias towards models that perform well on survival prediction tasks","The tendency for a machine learning model's performance to degrade over time","A bias in data collection where only surviving records are kept","A"
366,Big Data,Knowledge,Medium,"What is 'Apache Airflow'?","An open-source platform to programmatically author, schedule, and monitor workflows","A tool for analyzing air quality data","A stream-processing engine","A NoSQL database","A"
367,DevOps,Comprehension,Medium,"What is the main goal of 'Site Reliability Engineering' (SRE)?","To use software engineering principles to automate IT operations tasks and improve the reliability and performance of systems","To manually ensure that a website is reliable","A customer support role for website issues","A marketing role for promoting a website's reliability","A"
368,IoT,Evaluation,Hard,"What is the primary trade-off when using a very small, low-power microcontroller (MCU) for an IoT device?","Limited processing power and memory, which restricts the complexity of the tasks and security features that can be implemented on the device","High cost compared to more powerful processors","High power consumption, draining the battery quickly","Incompatibility with common programming languages","A"
369,Cybersecurity,Knowledge,Medium,"What is a 'brute-force attack'?","A trial-and-error method used to obtain information such as a user password or PIN, by systematically trying all possible combinations","A physical attack on a server","An attack that uses a large amount of force to break into a data center","A type of social engineering attack","A"
370,Machine Learning,Application,Hard,"A company wants to predict the future stock price of a company based on its historical prices. What type of machine learning problem is this?","Time Series Forecasting","Image Classification","Customer Segmentation","Sentiment Analysis","A"
371,Cloud Computing,Analysis,Medium,"What is the primary benefit of using an 'API Gateway'?","It provides a single, managed entry point for backend APIs, handling concerns like authentication, rate limiting, and routing, which simplifies client applications and backend services","It guarantees that the backend APIs will never fail","It automatically writes the code for the backend APIs","It is a cheaper way to host APIs than using virtual machines","A"
372,Artificial Intelligence,Knowledge,Easy,"What is 'robotics'?","An interdisciplinary field at the intersection of computer science and engineering that involves the design, construction, operation, and use of robots","The study of human behavior","A type of software for drawing robots","A movie genre","A"
373,Data Science,Knowledge,Medium,"What is 'Pandas' in the context of Python?","A popular open-source library providing high-performance, easy-to-use data structures and data analysis tools","A tool for drawing pictures of pandas","A type of Python syntax","A machine learning framework","A"
374,Big Data,Comprehension,Medium,"What does it mean for a system to be 'fault-tolerant'?","The ability of a system to continue operating without interruption when one or more of its components fail","A system that has no faults or bugs","A system that is tolerant of user errors","A system that can predict future faults","A"
375,DevOps,Knowledge,Medium,"What is a 'deployment'?","The process of taking software and making it available for use in a specific environment, such as production","The act of planning a software project","The process of writing code","The act of fixing a bug","A"
376,IoT,Comprehension,Medium,"What is a 'key fob' used for keyless entry an example of?","An IoT device using short-range radio communication (like RFID or BLE)","A type of biometric scanner","A small portable computer","A secure password storage device","A"
377,Cybersecurity,Analysis,Hard,"What is the main difference between 'symmetric' and 'asymmetric' encryption?","Symmetric encryption uses a single key for both encryption and decryption, while asymmetric uses a pair of keys (a public key and a private key)","Asymmetric encryption is faster than symmetric encryption","Symmetric encryption is an older, less secure method","Asymmetric encryption can only be used for text data","A"
378,Machine Learning,Analysis,Hard,"What is a key difference between a 'Decision Tree' and a 'Random Forest'?","A Random Forest is an ensemble of many Decision Trees, which typically results in a more accurate and robust model that is less prone to overfitting","A Decision Tree can only be used for classification, while a Random Forest can be used for regression","A Random Forest is easier to interpret than a single Decision Tree","A Decision Tree requires more data to train than a Random Forest","A"
379,Cloud Computing,Knowledge,Hard,"What is a 'service-level objective' (SLO)?","A target value for a specific reliability metric (SLI), such as 99.9% uptime, which serves as an internal goal for a team","A formal, legally binding contract with a customer","A dashboard for monitoring service health","A list of all the services a team provides","A"
380,Artificial Intelligence,Application,Medium,"A company wants to build a system that can automatically identify and blur faces in a video stream. What AI technology is most appropriate?","Real-time object detection or facial recognition from the field of computer vision","Natural Language Processing","A reinforcement learning agent","A clustering algorithm","A"
381,Data Science,Comprehension,Medium,"What is a 'Type II error' in hypothesis testing?","The failure to reject a false null hypothesis (a 'false negative')","The incorrect rejection of a true null hypothesis (a 'false positive')","An error in the programming code for the test","A bias in the data collection process","A"
382,Big Data,Application,Hard,"A large retail company wants to analyze 10 years of sales data to find seasonal trends and forecast future demand. The data is stored in a structured format. What is a suitable platform for this task?","A cloud data warehouse (e.g., BigQuery, Snowflake, Redshift)","A real-time stream-processing engine","A key-value NoSQL database","A graph database","A"
383,DevOps,Analysis,Medium,"What is a primary benefit of 'ChatOps'?","It integrates development and operations tools into a central chat platform, improving collaboration, transparency, and the speed of response to events","It replaces all other communication methods like email and meetings","It is a chatbot that automatically writes code and performs deployments","It is a social media platform for DevOps engineers","A"
384,IoT,Knowledge,Medium,"What is 'RFID'?","Radio-Frequency Identification, a technology that uses electromagnetic fields to automatically identify and track tags attached to objects","A type of secure Wi-Fi protocol","A brand of IoT sensor","A programming language for IoT devices","A"
385,Cybersecurity,Knowledge,Medium,"What is a 'firewall'?","A network security device that monitors incoming and outgoing network traffic and decides whether to allow or block specific traffic based on a defined set of security rules","A type of antivirus software","A tool for encrypting data","A physical barrier in a data center","A"
386,Machine Learning,Comprehension,Medium,"What does it mean if a model has 'high variance'?","The model is very sensitive to the specific data it was trained on and is likely overfitting; it will perform poorly on new, unseen data","The model is too simple and is underfitting the data","The model's predictions are very consistent across different training sets","The dataset has a large range of values","A"
387,Cloud Computing,Knowledge,Easy,"What does 'cloud computing' mean?","The delivery of computing services—including servers, storage, databases, networking, software, analytics, and intelligence—over the Internet ('the cloud')","A method for computing weather patterns","A type of personal computer","A secure way to store files on your local machine","A"
388,Artificial Intelligence,Knowledge,Medium,"What is a 'recurrent neural network' (RNN)?","A type of neural network that is designed to work with sequence data, such as text or time series, by having connections that form a directed cycle","A network that runs on a recurring schedule","A neural network with a very large number of layers","A network that is designed to be easily recreated","A"
389,Data Science,Analysis,Hard,"Why is it often necessary to 'stratify' a sample when splitting data for machine learning?","To ensure that the training and test sets have the same proportion of the target variable's classes as the original dataset, which is crucial for imbalanced datasets","To make the data splitting process faster","To shuffle the data randomly","To increase the size of the dataset","A"
390,Big Data,Knowledge,Hard,"What is 'Apache Avro'?","A data serialization system that uses a JSON-based schema to provide rich data structures, a compact binary format, and integration with dynamic languages","A database engine","A tool for running SQL queries on Hadoop","A workflow management tool","A"
391,DevOps,Comprehension,Medium,"What is 'value stream mapping'?","A lean-management method for analyzing the current state and designing a future state for the series of events that take a product or service from its beginning through to the customer","A tool for mapping the financial value of a project","A type of network diagram","A method for visualizing a software's architecture","A"
392,IoT,Evaluation,Medium,"What is the main advantage of using a cellular-based IoT solution over one based on a proprietary LPWAN technology like LoRaWAN?","It can leverage existing, widespread cellular infrastructure, simplifying deployment and providing broad coverage","It is significantly cheaper per device and has no data costs","It consumes less power","It is more secure by default","A"
393,Cybersecurity,Knowledge,Hard,"What is the 'Cyber Kill Chain'?","A framework developed by Lockheed Martin that outlines the stages of a common cyberattack, from initial reconnaissance to the final objective","A type of malware that disables security software","A certification for cybersecurity professionals","A secure communication protocol used by the military","A"
394,Machine Learning,Application,Medium,"A user wants to find natural groupings in a dataset of customer information without any prior knowledge of what those groups might be. What is the appropriate type of algorithm?","A clustering algorithm (e.g., K-Means)","A classification algorithm (e.g., Logistic Regression)","A regression algorithm (e.g., Linear Regression)","A reinforcement learning algorithm","A"
395,Cloud Computing,Comprehension,Medium,"What is the primary benefit of a 'disaster recovery' (DR) plan in the cloud?","To ensure business continuity by enabling the recovery or continuation of vital technology infrastructure and systems following a natural or human-induced disaster","To reduce the monthly cost of cloud services","To improve the day-to-day performance of an application","To automatically apply security patches","A"
396,Artificial Intelligence,Knowledge,Medium,"What is 'natural language generation' (NLG)?","A subfield of AI that involves using computer systems to produce natural language text from structured data","A technique for generating new programming languages","The process of a human learning a new language naturally","A method for translating between two natural languages","A"
397,Data Science,Comprehension,Medium,"What is the difference between 'quantitative' and 'qualitative' data?","Quantitative data is numerical and can be measured, while qualitative data is descriptive and conceptual","Quantitative data is always more accurate than qualitative data","Qualitative data is used in science, while quantitative data is used in business","Quantitative data is raw, while qualitative data is cleaned","A"
398,Big Data,Analysis,Hard,"What is a key trade-off when choosing a NoSQL database?","Often, you trade the strong consistency and transactional guarantees of a relational database for higher scalability, availability, and schema flexibility","You trade performance for lower cost","You trade security for ease of use","You trade the ability to store large files for faster query speed","A"
399,DevOps,Application,Hard,"A team is deploying a microservices application and needs a way to manage traffic routing, enforce security policies, and get detailed telemetry between the services. What should they implement?","A service mesh (e.g., Istio, Linkerd)","A monolithic API gateway","A traditional hardware load balancer","A set of firewall rules on each host","A"
400,IoT,Comprehension,Hard,"What is 'Matter'?","A royalty-free connectivity standard for smart home devices that aims to improve interoperability, allowing devices from different manufacturers to work together reliably and securely","The physical material used to build IoT devices","A cloud platform for managing industrial IoT","A machine learning framework for edge devices","A"
401,Cybersecurity,Knowledge,Medium,"What is a 'bot'?","A software application that runs automated tasks (scripts) over the Internet. Some are used for legitimate purposes, while others are used for malicious activities like botnets","A type of physical robot","A security hardware device","A nickname for a cybersecurity expert","A"
402,Machine Learning,Analysis,Medium,"What is the primary benefit of 'bagging' (Bootstrap Aggregating) in ensemble learning?","It reduces variance and helps to avoid overfitting by training multiple models on different random subsets of the training data","It reduces the bias of a model","It is a method for selecting the most important features","It is computationally less expensive than training a single model","A"
403,Cloud Computing,Knowledge,Hard,"What is a 'golden image' in the context of cloud infrastructure?","A template for a virtual machine that is pre-configured with a specific operating system, software, and settings, used to quickly create new, consistent instances","An image file that has been certified as secure","A backup of a database stored on gold-plated media","A popular background image for a cloud console","A"
404,Artificial Intelligence,Comprehension,Hard,"What is a key difference between a 'shallow' neural network and a 'deep' neural network?","A deep neural network has multiple hidden layers between its input and output layers, allowing it to learn more complex, hierarchical features from the data","A shallow network is easier to train","A deep network can only be used for computer vision","A shallow network is a type of unsupervised learning","A"
405,Data Science,Application,Medium,"A company wants to determine the single most important factor that influences whether a customer renews their subscription. What analytical technique would be most helpful?","Feature importance analysis from a trained classification model (e.g., Random Forest)","Clustering the customers into different groups","Visualizing the subscription data over time","Calculating the average subscription length","A"
406,Big Data,Knowledge,Medium,"What is 'data serialization'?","The process of converting a data object into a format (like a byte stream or JSON) that can be stored or transmitted and then reconstructed later","A method for securing data by putting it in a series of locked boxes","A type of data visualization that shows data in a series","A compliance standard for serial numbers on hardware","A"
407,DevOps,Comprehension,Medium,"What is the purpose of 'linting' in a CI pipeline?","To automatically check source code for programmatic and stylistic errors, potential bugs, and adherence to coding standards","To compile the source code into a binary artifact","To run unit tests on the code","To deploy the code to a server","A"
408,IoT,Analysis,Medium,"What is a major advantage of 5G technology for IoT applications compared to 4G LTE?","It offers significantly lower latency and higher bandwidth, enabling new use cases like autonomous vehicles and real-time augmented reality","It has a much longer range, covering entire countries with a single tower","It consumes significantly less power","It is a much cheaper technology to implement","A"
409,Cybersecurity,Knowledge,Medium,"What is 'access control'?","The selective restriction of access to a resource; it is a fundamental concept in security that determines who is allowed to access what","A physical gate or door","A type of software for controlling computer mice","A policy for controlling who can access a building","A"
410,Machine Learning,Analysis,Hard,"What is a potential downside of using a very complex model, like a deep neural network with many layers?","It is more prone to overfitting the training data and can be harder to interpret (the 'black box' problem)","It is not capable of learning complex patterns","It can only be used for small datasets","It trains much faster than a simpler model","A"
411,Cloud Computing,Application,Hard,"A developer needs to store user session data for a highly scalable web application. The data needs to be retrieved with very low latency. What type of database is best suited for this?","An in-memory key-value store like Redis or Memcached","A traditional relational database like MySQL","A cloud data warehouse like BigQuery","Object storage like AWS S3","A"
412,Artificial Intelligence,Knowledge,Medium,"What is a 'convolutional neural network' (CNN)?","A type of deep neural network that is most commonly applied to analyzing visual imagery","A network that is convoluted and difficult to understand","A network for processing audio data","A single-layer neural network","A"
413,Data Science,Comprehension,Medium,"What is 'data storytelling'?","The practice of communicating insights from data using narratives and visualizations to make the information understandable and compelling to an audience","Making up stories about what the data might mean","A fictional story that uses data as a plot device","A technical report that only contains tables of data","A"
414,Big Data,Comprehension,Hard,"What does it mean for a stream-processing system to provide 'exactly-once' semantics?","It guarantees that each event in the stream will be processed exactly one time, even in the event of system failures","It guarantees that the stream will be processed at least once","It guarantees that the stream will be processed at most once","It means the processing is done by a single machine","A"
415,DevOps,Knowledge,Hard,"What is 'Value Stream Mapping' in a software context?","A practice for identifying and eliminating waste in the software delivery process, from idea to production, to improve flow and reduce cycle time","A tool for mapping the monetary value of a software project","A diagram of the flow of value in a company's stock","A technique for visualizing the company's revenue stream","A"
416,IoT,Comprehension,Medium,"What is 'device provisioning' in IoT?","The process of enrolling a new device onto a network and configuring it with the necessary credentials, certificates, and settings to operate securely","The act of providing a power source for a device","The process of writing the initial firmware for a device","The act of shipping a device to a customer","A"
417,Cybersecurity,Knowledge,Easy,"What is an 'antivirus'?","A software program that is designed to detect, prevent, and remove malicious software, or malware, from a computer","A type of vaccine for humans","A hardware device that blocks viruses","A person who is against viruses","A"
418,Machine Learning,Knowledge,Hard,"What is a 'latent space'?","In machine learning, a lower-dimensional representation of data where similar data points are closer together. It is learned by models like autoencoders and GANs","A space in a computer's memory that is not being used","A theoretical space where models are trained","A hidden layer in a neural network","A"
419,Cloud Computing,Analysis,Medium,"What is the primary benefit of using 'reserved instances' over 'on-demand instances' in the cloud?","It provides a significant cost saving in exchange for a commitment to use a specific instance type for a long term (e.g., 1 or 3 years)","It provides better performance and higher availability","It allows you to change the instance type at any time","It is a more flexible, pay-as-you-go pricing model","A"
420,Artificial Intelligence,Evaluation,Hard,"What is a major limitation of current AI systems, even very advanced ones?","They generally exhibit 'narrow' intelligence, excelling at specific tasks they were trained for, but lack the general common sense and understanding of a human","They are incapable of processing large amounts of data","They are not able to learn from experience","They are more biased than humans in all situations","A"
421,Data Science,Analysis,Medium,"Why might an analyst choose to use the 'median' instead of the 'mean' to describe the central tendency of a skewed dataset (like income)?","The median is more robust to outliers and provides a better representation of the 'typical' value in a skewed distribution","The median is always a whole number","The median is easier to calculate by hand","The mean cannot be calculated for skewed data","A"
422,Big Data,Knowledge,Hard,"What is 'Apache Arrow'?","A cross-language development platform for in-memory data that specifies a standardized, language-independent columnar memory format, designed to accelerate analytical processing","A tool for drawing arrows and diagrams for big data architectures","A workflow management tool","A high-speed networking protocol","A"
423,DevOps,Comprehension,Hard,"What is the relationship between 'Site Reliability Engineering' (SRE) and 'DevOps'?","SRE can be seen as a specific implementation of the DevOps philosophy, with a focus on using data and software engineering to manage operations and reliability","SRE and DevOps are competing methodologies with opposing principles","SRE is a junior role, while DevOps is a senior role","DevOps is a set of tools, while SRE is a job title","A"
424,IoT,Application,Medium,"A person wants to automate their home lighting to turn on at sunset and off at sunrise. What is the simplest way to achieve this using IoT?","A smart plug or smart bulb connected to a smart home hub or app that supports time-based and location-based (sunset/sunrise) scheduling","Hiring an electrician to install a custom-wired timer system","Manually turning the lights on and off every day","Using a mechanical timer that needs to be reset frequently","A"
425,Cybersecurity,Knowledge,Medium,"What is a 'security policy'?","A high-level document that outlines an organization's rules and procedures for information security","A specific rule in a firewall","A piece of security software","A legal document that absolves a company of liability in a breach","A"
426,Machine Learning,Comprehension,Medium,"What is the main purpose of a 'pooling layer' in a convolutional neural network (CNN)?","To progressively reduce the spatial size of the representation to reduce the amount of parameters and computation in the network, and to control overfitting","To increase the size of the image to find more features","To add color to a black and white image","To pool together the results from multiple different models","A"
427,Cloud Computing,Knowledge,Medium,"What is 'cloud storage'?","A model of computer data storage in which the digital data is stored in logical pools, said to be on 'the cloud', and accessed via a network, typically the Internet","A type of weather-resistant physical storage device","A small, personal storage device","A software library for managing files","A"
428,Artificial Intelligence,Analysis,Hard,"What is a key difference between how a human learns and how most current supervised machine learning models learn?","Humans can often learn a new concept from very few examples ('one-shot learning'), while most models require thousands or millions of labeled examples","Humans cannot learn from labeled data","Machine learning models are not capable of making mistakes","Humans learn much more slowly than machine learning models","A"
429,Data Science,Knowledge,Medium,"What is 'data mining'?","The process of discovering patterns and other valuable information from large sets of data","The process of physically mining for minerals used in computer chips","A type of cyberattack that steals data","The act of deleting old data","A"
430,Big Data,Application,Hard,"An organization needs to store and analyze massive (petabyte-scale) datasets of satellite imagery. What is a suitable storage technology?","A distributed object store in a cloud or on-premises environment (like AWS S3 or HDFS)","A single, large relational database","A collection of external hard drives","A spreadsheet application","A"
431,DevOps,Knowledge,Medium,"What is 'continuous delivery'?","A software engineering approach in which teams produce software in short cycles, ensuring that the software can be reliably released at any time","A delivery service that operates 24/7","A method for delivering software on physical media like CDs","A project management methodology","A"
432,IoT,Evaluation,Medium,"What is a major privacy concern with smart home devices that have microphones, like smart speakers?","The potential for the device to be always listening and recording conversations, and for this data to be accessed or misused","The poor audio quality of the microphones","The high cost of the devices","The limited number of languages the devices understand","A"
433,Cybersecurity,Knowledge,Medium,"What is a 'digital footprint'?","The trail of data you leave behind when you use the Internet, including websites you visit, emails you send, and information you submit to online services","A biometric scan of your foot","A security feature for shoes","A type of computer virus","A"
434,Machine Learning,Comprehension,Medium,"What is the primary goal of 'dimensionality reduction'?","To reduce the number of features in a dataset while trying to preserve as much of the important information as possible","To reduce the number of data points (rows) in a dataset","To make a model's predictions less accurate but faster","To convert a 2D dataset into a 3D dataset","A"
435,Cloud Computing,Analysis,Medium,"What is the main benefit of an 'auto-scaling group'?","It automatically adjusts the number of compute instances in a group to match the current traffic load, improving availability and managing costs","It is a group of engineers who can manually scale servers","It is a security group that scales its rules automatically","It is a group of databases that scale together","A"
436,Artificial Intelligence,Application,Medium,"A team is building a self-driving car and needs the car to understand the world around it (e.g., identify other cars, pedestrians, traffic lights). What field of AI is most critical?","Computer Vision","Natural Language Processing","Expert Systems","Robotic Process Automation","A"
437,Data Science,Knowledge,Medium,"What is 'SQL'?","Structured Query Language, a standard language for storing, manipulating, and retrieving data in relational databases","A type of NoSQL database","A brand of server hardware","A statistical analysis software","A"
4s,Big Data,Comprehension,Medium,"What is the main difference between 'structured' and 'unstructured' data?","Structured data has a predefined model and is often stored in tables (e.g., a relational database), while unstructured data has no predefined model and can be text, images, video, etc.","Structured data is always numerical","Unstructured data is messy and unusable for analysis","Structured data is small, while unstructured data is big","A"
439,DevOps,Knowledge,Hard,"What is 'observability'?","A measure of how well internal states of a system can be inferred from knowledge of its external outputs, crucial for debugging complex, distributed systems","A synonym for monitoring","The practice of observing developers while they code","A security concept of observing all user activity","A"
440,IoT,Application,Hard,"A smart factory uses thousands of sensors to monitor its machinery. They need a system that can receive and process this massive volume of real-time data. What is a suitable technology for the ingestion layer?","A message broker or event streaming platform like MQTT combined with Apache Kafka","A single relational database server","Sending all data as email attachments","Storing data in text files on a shared drive","A"
441,Cybersecurity,Knowledge,Medium,"What is a 'DMZ' (Demilitarized Zone) in network security?","A perimeter network that protects an organization's internal local-area network (LAN) from untrusted traffic by creating a subnetwork between the internal network and the internet","A zone where no security measures are applied","A type of secure data center","A military-grade encryption algorithm","A"
442,Machine Learning,Knowledge,Hard,"What is 'active learning'?","A special case of machine learning in which a learning algorithm can interactively query a user (or some other information source) to label new data points with the desired outputs","A type of learning that is very fast and dynamic","A model that is always in a learning state","A business strategy for machine learning companies","A"
443,Cloud Computing,Application,Hard,"A team has a stateless web application running in containers. They want to deploy it in a way that is highly available and can scale automatically. What is the best platform to use?","A container orchestration platform like Kubernetes or a managed service like AWS EKS/ECS","A single, large bare-metal server","A set of individual virtual machines that are manually managed","A serverless function platform","A"
444,Artificial Intelligence,Comprehension,Medium,"What is 'case-based reasoning' (CBR)?","An AI paradigm that solves new problems by retrieving and adapting solutions to similar problems that were solved in the past","A reasoning process based on legal cases","A type of neural network","A method for building expert systems","A"
445,Data Science,Knowledge,Easy,"What is a 'model' in the context of data science?","A mathematical representation of a real-world process, which is trained on data to make predictions or decisions","A physical scale model of a system","A template for a data report","A role model for data scientists","A"
446,Big Data,Analysis,Hard,"What is a key advantage of using a distributed processing framework like Spark over a single-machine solution?","It can scale horizontally by adding more machines to the cluster, allowing it to process datasets that are far too large for a single machine's memory or disk","It is easier to program and requires no knowledge of distributed systems","It is always cheaper than a single powerful machine","It provides a graphical user interface for all tasks","A"
447,DevOps,Comprehension,Medium,"What is the purpose of an 'SLO' (Service-Level Objective)?","To set a clear, internal target for a service's reliability, which guides engineering decisions and priorities","To create a legally binding contract with a customer","To describe the architecture of a service","To market the reliability of a service to potential customers","A"
448,IoT,Knowledge,Medium,"What is 'Z-Wave'?","A wireless communication protocol used primarily for home automation, creating a mesh network of low-power devices","A new type of battery for IoT devices","A sound wave-based communication method","A security standard for Wi-Fi","A"
449,Cybersecurity,Analysis,Medium,"Why is updating software and applying security patches so important?","To fix vulnerabilities that could be exploited by attackers to compromise a system","To get access to the latest user interface features","To improve the performance of the software","To reduce the amount of disk space the software uses","A"
450,Machine Learning,Comprehension,Hard,"What is the 'exploding gradient problem'?","A difficulty in training deep neural networks where the gradients become excessively large, leading to an unstable training process where the model's weights change erratically","A situation where a server's GPU physically explodes during training","A security attack that injects large gradients into a model","A problem where the gradients are too small to be useful","A"
451,Cloud Computing,Knowledge,Medium,"What is a 'snapshot' in the context of cloud storage?","A point-in-time backup of a volume or disk, which can be used to restore the data to that state","A screenshot of the cloud console","A performance metric for a storage device","A type of temporary storage","A"
452,Artificial Intelligence,Knowledge,Hard,"What is 'federated learning'?","A machine learning technique that trains a model across multiple decentralized edge devices or servers holding local data samples, without exchanging the data itself","A learning model used by the federal government","A type of learning that combines multiple different AI models","A theoretical learning concept that is not yet practical","A"
453,Data Science,Application,Medium,"A manager wants a dashboard that shows key business metrics (KPIs) and their trends over the past year. What is the most appropriate tool for this?","A business intelligence and data visualization tool like Tableau, Power BI, or Looker","A machine learning framework like TensorFlow","A database like PostgreSQL","A programming language like Python","A"
454,Big Data,Knowledge,Medium,"What is 'data locality'?","A principle in distributed computing where it is often more efficient to move the computation close to the data, rather than moving large amounts of data to the computation","The geographic location where data is stored","A security feature that restricts data access to a specific location","A type of data partitioning","A"
455,DevOps,Comprehension,Hard,"What is the main goal of a 'blameless culture' in a DevOps environment?","To encourage teams to identify and learn from failures without fear of punishment, leading to a more resilient and innovative system","A culture where no one is ever held responsible for their actions","A culture that avoids all forms of post-incident analysis","A workplace with no management structure","A"
